SpecimenID	SpectrumID	Spectro	SpeShort	Wing	Side	Spot	SpecimenID.MEB	SpecimenID.ADN	Tribe	Tip.Label	New.TipLabel	Genus	species	mimicry.ring
20455	20455_PSEUTIMN_FW_V_v3_1811346U1	1811346U1	PSEUTIMN	FW	V	s3	20455		Ithomiini	Pseudoscada_timna_utilla	Pseudoscada_timna_utilla	Pseudoscada	timna	agnosia
20455	20455_PSEUTIMN_FW_V_v4_1811346U1	1811346U1	PSEUTIMN	FW	V	s4	20455		Ithomiini	Pseudoscada_timna_utilla	Pseudoscada_timna_utilla	Pseudoscada	timna	agnosia
20455	20455_PSEUTIMN_FW_V_v5_1811346U1	1811346U1	PSEUTIMN	FW	V	s5	20455		Ithomiini	Pseudoscada_timna_utilla	Pseudoscada_timna_utilla	Pseudoscada	timna	agnosia
20469	20469_OLERSEXM_FW_V_v1_1811346U1	1811346U1	OLERSEXM	FW	V	s1	20469		Ithomiini	Oleria_sexmaculata_sexmaculata	Oleria_sexmaculata_sexmaculata	Oleria	sexmaculata	lerida
20469	20469_OLERSEXM_FW_V_v2_1811346U1	1811346U1	OLERSEXM	FW	V	s2	20469		Ithomiini	Oleria_sexmaculata_sexmaculata	Oleria_sexmaculata_sexmaculata	Oleria	sexmaculata	lerida
20469	20469_OLERSEXM_FW_V_v3_1811346U1	1811346U1	OLERSEXM	FW	V	s3	20469		Ithomiini	Oleria_sexmaculata_sexmaculata	Oleria_sexmaculata_sexmaculata	Oleria	sexmaculata	lerida
20469	20469_OLERSEXM_FW_V_v4_1811346U1	1811346U1	OLERSEXM	FW	V	s4	20469		Ithomiini	Oleria_sexmaculata_sexmaculata	Oleria_sexmaculata_sexmaculata	Oleria	sexmaculata	lerida
20469	20469_OLERSEXM_FW_V_v5_1811346U1	1811346U1	OLERSEXM	FW	V	s5	20469		Ithomiini	Oleria_sexmaculata_sexmaculata	Oleria_sexmaculata_sexmaculata	Oleria	sexmaculata	lerida
20558	20558_NAPEINAC_FW_V_v1_1811346U1	1811346U1	NAPEINAC	FW	V	s1	20628		Ithomiini	Napeogenes_inachia	Napeogenes_inachia	Napeogenes	inachia	eurimedia
20558	20558_NAPEINAC_FW_V_v2_1811346U1	1811346U1	NAPEINAC	FW	V	s2	20628		Ithomiini	Napeogenes_inachia	Napeogenes_inachia	Napeogenes	inachia	eurimedia
20558	20558_NAPEINAC_FW_V_v3_1811346U1	1811346U1	NAPEINAC	FW	V	s3	20628		Ithomiini	Napeogenes_inachia	Napeogenes_inachia	Napeogenes	inachia	eurimedia
20558	20558_NAPEINAC_FW_V_v4_1811346U1	1811346U1	NAPEINAC	FW	V	s4	20628		Ithomiini	Napeogenes_inachia	Napeogenes_inachia	Napeogenes	inachia	eurimedia
20558	20558_NAPEINAC_FW_V_v5_1811346U1	1811346U1	NAPEINAC	FW	V	s5	20628		Ithomiini	Napeogenes_inachia	Napeogenes_inachia	Napeogenes	inachia	eurimedia
20569	20569_ITHOAMAR_FW_V_v1_1811346U1	1811346U1	ITHOAMAR	FW	V	s1	20569		Ithomiini	Ithomia_amarilla	Ithomia_amarilla	Ithomia	amarilla	eurimedia
20569	20569_ITHOAMAR_FW_V_v2_1811346U1	1811346U1	ITHOAMAR	FW	V	s2	20569		Ithomiini	Ithomia_amarilla	Ithomia_amarilla	Ithomia	amarilla	eurimedia
20569	20569_ITHOAMAR_FW_V_v3_1811346U1	1811346U1	ITHOAMAR	FW	V	s3	20569		Ithomiini	Ithomia_amarilla	Ithomia_amarilla	Ithomia	amarilla	eurimedia
20569	20569_ITHOAMAR_FW_V_v4_1811346U1	1811346U1	ITHOAMAR	FW	V	s4	20569		Ithomiini	Ithomia_amarilla	Ithomia_amarilla	Ithomia	amarilla	eurimedia
20569	20569_ITHOAMAR_FW_V_v5_1811346U1	1811346U1	ITHOAMAR	FW	V	s5	20569		Ithomiini	Ithomia_amarilla	Ithomia_amarilla	Ithomia	amarilla	eurimedia
20623	20623_CALLLENA_FW_V_v1_1811346U1	1811346U1	CALLLENA	FW	V	s1	20623		Ithomiini	Callithomia_lenea_zelie	Callithomia_lenea_zelie	Callithomia	lenea	confusa
20623	20623_CALLLENA_FW_V_v2_1811346U1	1811346U1	CALLLENA	FW	V	s2	20623		Ithomiini	Callithomia_lenea_zelie	Callithomia_lenea_zelie	Callithomia	lenea	confusa
20623	20623_CALLLENA_FW_V_v3_1811346U1	1811346U1	CALLLENA	FW	V	s3	20623		Ithomiini	Callithomia_lenea_zelie	Callithomia_lenea_zelie	Callithomia	lenea	confusa
20623	20623_CALLLENA_FW_V_v4_1811346U1	1811346U1	CALLLENA	FW	V	s4	20623		Ithomiini	Callithomia_lenea_zelie	Callithomia_lenea_zelie	Callithomia	lenea	confusa
