SpecimenID	SpectrumID	Spectro	SpeShort	Wing	Side	Veine	Repet	Family	Subfamily	Tribe	Genus	species	subspecies	CollectionDate	CollectionLocation	sex
11-1127	11-1127_ITHOFLOR_FW_V_v1_R03_1510133U1	1510133U1	ITHOFLOR	FW	V	v1	R03	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v2_R01_1510133U1	1510133U1	ITHOFLOR	FW	V	v2	R01	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v2_R02_1510133U1	1510133U1	ITHOFLOR	FW	V	v2	R02	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v2_R03_1510133U1	1510133U1	ITHOFLOR	FW	V	v2	R03	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v3_R01_1510133U1	1510133U1	ITHOFLOR	FW	V	v3	R01	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v3_R02_1510133U1	1510133U1	ITHOFLOR	FW	V	v3	R02	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v3_R03_1510133U1	1510133U1	ITHOFLOR	FW	V	v3	R03	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v4_R01_1510133U1	1510133U1	ITHOFLOR	FW	V	v4	R01	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v4_R02_1510133U1	1510133U1	ITHOFLOR	FW	V	v4	R02	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v4_R03_1510133U1	1510133U1	ITHOFLOR	FW	V	v4	R03	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v5_R01_1510133U1	1510133U1	ITHOFLOR	FW	V	v5	R01	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v5_R02_1510133U1	1510133U1	ITHOFLOR	FW	V	v5	R02	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-1127	11-1127_ITHOFLOR_FW_V_v5_R03_1510133U1	1510133U1	ITHOFLOR	FW	V	v5	R03	Riodinidae	Riodininae	Eurybiini	Ithomiola	floralis		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v1_R01_1510133U1	1510133U1	NOTO2	FW	V	v1	R01	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v1_R02_1510133U1	1510133U1	NOTO2	FW	V	v1	R02	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v1_R03_1510133U1	1510133U1	NOTO2	FW	V	v1	R03	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v2_R01_1510133U1	1510133U1	NOTO2	FW	V	v2	R01	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v2_R02_1510133U1	1510133U1	NOTO2	FW	V	v2	R02	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v2_R03_1510133U1	1510133U1	NOTO2	FW	V	v2	R03	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v3_R01_1510133U1	1510133U1	NOTO2	FW	V	v3	R01	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v3_R02_1510133U1	1510133U1	NOTO2	FW	V	v3	R02	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v3_R03_1510133U1	1510133U1	NOTO2	FW	V	v3	R03	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v4_R01_1510133U1	1510133U1	NOTO2	FW	V	v4	R01	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v4_R02_1510133U1	1510133U1	NOTO2	FW	V	v4	R02	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v4_R03_1510133U1	1510133U1	NOTO2	FW	V	v4	R03	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v5_R01_1510133U1	1510133U1	NOTO2	FW	V	v5	R01	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v5_R02_1510133U1	1510133U1	NOTO2	FW	V	v5	R02	Notodontidae				Noto2		NA	NA	NA
11-994	11-994_NOTO2_FW_V_v5_R03_1510133U1	1510133U1	NOTO2	FW	V	v5	R03	Notodontidae				Noto2		NA	NA	NA
20237	20237_HETENEPH_FW_V_v1_R01_1510133U1	1510133U1	HETENEPH	FW	V	v1	R01	Nymphalidae	Danainae	Ithomiini	Heterosais	nephele				f
20237	20237_HETENEPH_FW_V_v2_R01_1510133U1	1510133U1	HETENEPH	FW	V	v2	R01	Nymphalidae	Danainae	Ithomiini	Heterosais	nephele				f
20237	20237_HETENEPH_FW_V_v3_R01_1510133U1	1510133U1	HETENEPH	FW	V	v3	R01	Nymphalidae	Danainae	Ithomiini	Heterosais	nephele				f
20237	20237_HETENEPH_FW_V_v4_R01_1510133U1	1510133U1	HETENEPH	FW	V	v4	R01	Nymphalidae	Danainae	Ithomiini	Heterosais	nephele				f
20237	20237_HETENEPH_FW_V_v5_R01_1510133U1	1510133U1	HETENEPH	FW	V	v5	R01	Nymphalidae	Danainae	Ithomiini	Heterosais	nephele				f
20455	20455_PSEUTIMN_FW_V_v1_R01_1811346U1	1811346U1	PSEUTIMN	FW	V	v1	R01	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v1_R02_1811346U1	1811346U1	PSEUTIMN	FW	V	v1	R02	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v1_R03_1811346U1	1811346U1	PSEUTIMN	FW	V	v1	R03	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v2_R01_1811346U1	1811346U1	PSEUTIMN	FW	V	v2	R01	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v2_R02_1811346U1	1811346U1	PSEUTIMN	FW	V	v2	R02	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v2_R03_1811346U1	1811346U1	PSEUTIMN	FW	V	v2	R03	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v3_R01_1811346U1	1811346U1	PSEUTIMN	FW	V	v3	R01	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v3_R02_1811346U1	1811346U1	PSEUTIMN	FW	V	v3	R02	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v3_R03_1811346U1	1811346U1	PSEUTIMN	FW	V	v3	R03	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v4_R01_1811346U1	1811346U1	PSEUTIMN	FW	V	v4	R01	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v4_R02_1811346U1	1811346U1	PSEUTIMN	FW	V	v4	R02	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v4_R03_1811346U1	1811346U1	PSEUTIMN	FW	V	v4	R03	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v5_R01_1811346U1	1811346U1	PSEUTIMN	FW	V	v5	R01	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v5_R02_1811346U1	1811346U1	PSEUTIMN	FW	V	v5	R02	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
20455	20455_PSEUTIMN_FW_V_v5_R03_1811346U1	1811346U1	PSEUTIMN	FW	V	v5	R03	Nymphalidae	Danainae	Ithomiini	Pseudoscada	timna				f
