Code	Genus	Species	sex	Veine	Poil	Type.Poil	LongueurTot1	LongueurTot2	LongueurEchancrure	Largeur.Base	Largeur.Echancrure1	Largeur.Echancrure2
20680	Heterosais	nephele	f	V3	P5	monofide	183.11			4.48		
20680	Heterosais	nephele	f	V3	P6	monofide	192.99			4.95		
20680	Heterosais	nephele	f	V3	P7	monofide	213.06			5.04		
20680	Heterosais	nephele	f	V3	P8	monofide	158.49			3.63		
20680	Heterosais	nephele	f	V3	P9	monofide	239.55			5.89		
20680	Heterosais	nephele	f	V3	P10	monofide	110.42			4.59		
20680	Heterosais	nephele	f	V4	P1	monofide	279			5.2		
20680	Heterosais	nephele	f	V4	P2	monofide	203.68			4.46		
20680	Heterosais	nephele	f	V4	P3	monofide	174.67			4.22		
20680	Heterosais	nephele	f	V4	P4	monofide	266.4			5.2		
20680	Heterosais	nephele	f	V4	P5	monofide	229.92			4.97		
20680	Heterosais	nephele	f	V4	P6	monofide	283.7			5		
20680	Heterosais	nephele	f	V4	P7	monofide	177.45			4.65		
20680	Heterosais	nephele	f	V4	P8	monofide	182.75			5.04		
20680	Heterosais	nephele	f	V4	P9	monofide	143.67			4.45		
20680	Heterosais	nephele	f	V4	P10	monofide	159.05			4.37		
20778	Heterosais	nephele	f	V3	P1	bifide	100.13	99.84	19.26	4.29	3.15	3.41
20778	Heterosais	nephele	f	V3	P2	bifide	106.1	120.05	19.28	4.24	3.22	3.33
20778	Heterosais	nephele	f	V3	P3	bifide	100.68	103.42	15.37	4.19	2.84	2.93
20778	Heterosais	nephele	f	V3	P4	bifide	96.76	104.55	26.41	3.94	2.87	2.64
20778	Heterosais	nephele	f	V3	P5	bifide	104.29	121.84	19.13	4.25	2.99	3.13
20778	Heterosais	nephele	f	V3	P6	monofide	142.65			4.15		
20778	Heterosais	nephele	f	V3	P7	monofide	192.3			4.85		
20778	Heterosais	nephele	f	V3	P8	monofide	190.2			5.34		
20778	Heterosais	nephele	f	V3	P9	monofide	252.1			5.7		
20778	Heterosais	nephele	f	V3	P10	monofide	257.3			6		
20778	Heterosais	nephele	f	V4	P1	monofide	209.79			5.42		
20778	Heterosais	nephele	f	V4	P2	monofide	231.36			5.11		
20778	Heterosais	nephele	f	V4	P3	monofide	281.5			5.8		
20778	Heterosais	nephele	f	V4	P4	monofide	237.58			5.6		
20778	Heterosais	nephele	f	V4	P5	monofide	278.2			5.8		
20778	Heterosais	nephele	f	V4	P6	monofide	288.8			5.9		
20778	Heterosais	nephele	f	V4	P7	monofide	220.41			5.39		
20778	Heterosais	nephele	f	V4	P8	monofide	280.6			5.4		
20778	Heterosais	nephele	f	V4	P9	monofide	297.2			4.9		
20778	Heterosais	nephele	f	V4	P10	monofide	246.24			5.66		
GL07-179	Heterosais	nephele	f	V3	P1	bifide	92.32	106.07	24.55	3.75	2.52	3.35
GL07-179	Heterosais	nephele	f	V3	P2	bifide	86.14	98.79	16.25	3.48	3.44	4.07
GL07-179	Heterosais	nephele	f	V3	P3	bifide	115.41	93.35	18.91	4.37	4.24	3.95
GL07-179	Heterosais	nephele	f	V3	P4	bifide	74.8	90.79	11.42	4.32	2.66	3.34
GL07-179	Heterosais	nephele	f	V3	P5	bifide	113.08	108.13	22.19	3.83	3.65	3.36
GL07-179	Heterosais	nephele	f	V3	P6	monofide	153.33			4.39		
GL07-179	Heterosais	nephele	f	V3	P7	monofide	169.61			4.77		
GL07-179	Heterosais	nephele	f	V3	P8	monofide	148.84			4.66		
GL07-179	Heterosais	nephele	f	V3	P9	monofide	130.85			4.4		
GL07-179	Heterosais	nephele	f	V3	P10	monofide	159.15			4.79		
GL07-179	Heterosais	nephele	f	V4	P1	monofide	261.7			5.2		
GL07-179	Heterosais	nephele	f	V4	P2	monofide	238.45			5.38		
GL07-179	Heterosais	nephele	f	V4	P3	monofide	206.92			4.95		
GL07-179	Heterosais	nephele	f	V4	P4	monofide	237.6			6		
GL07-179	Heterosais	nephele	f	V4	P5	monofide	184.61			5.76		
GL07-179	Heterosais	nephele	f	V4	P6	monofide	244.9			5.8		
GL07-179	Heterosais	nephele	f	V4	P7	monofide	261.1			5.7		
GL07-179	Heterosais	nephele	f	V4	P8	monofide	161.95			4.79		
GL07-179	Heterosais	nephele	f	V4	P9	monofide	283			6.9		
GL07-179	Heterosais	nephele	f	V4	P10	monofide	219.7			3.8		
GL07-181	Heterosais	nephele	m	V3	P1	bifide	98.84	103.89	18.37	3.97	2.8	2.76
GL07-181	Heterosais	nephele	m	V3	P2	bifide	98.34	99.03	19.26	3.71	2.77	2.87
GL07-181	Heterosais	nephele	m	V3	P3	bifide	110.78	105.37	17.5	3.81	3.14	3.02
GL07-181	Heterosais	nephele	m	V3	P4	bifide	76.98	108.03	12.73	4.04	2.95	2.96
GL07-181	Heterosais	nephele	m	V3	P5	bifide	113.73	109.52	19.1	3.77	2.83	3.04
GL07-181	Heterosais	nephele	m	V3	P6	monofide	232.04			4.86		
GL07-181	Heterosais	nephele	m	V3	P7	monofide	180.76			4.9		
GL07-181	Heterosais	nephele	m	V3	P8	monofide	271.7			6.4		
GL07-181	Heterosais	nephele	m	V3	P9	monofide	248.75			5.49		
GL07-181	Heterosais	nephele	m	V3	P10	monofide	206.72			4.86		
GL07-181	Heterosais	nephele	m	V4	P1	monofide	292.9			5		
GL07-181	Heterosais	nephele	m	V4	P2	monofide	223.03			4.71		
GL07-181	Heterosais	nephele	m	V4	P3	monofide	182.74			4.79		
GL07-181	Heterosais	nephele	m	V4	P4	monofide	238.14			5.54		
GL07-181	Heterosais	nephele	m	V4	P5	monofide	229.68			4.95		
GL07-181	Heterosais	nephele	m	V4	P6	monofide	223			5.03		
GL07-181	Heterosais	nephele	m	V4	P7	monofide	192.38			5.38		
GL07-181	Heterosais	nephele	m	V4	P8	monofide	295.1			5.9		
GL07-181	Heterosais	nephele	m	V4	P9	monofide	264.5			5		
GL07-181	Heterosais	nephele	m	V4	P10	monofide	242.24			5.39		
GL07-182	Heterosais	nephele	m	V3	P1	bifide	112.14	104.14	19.14	4.26	2.88	2.86
GL07-182	Heterosais	nephele	m	V3	P2	bifide	111.44	104.96	19.76	3.4	2.67	2.92
GL07-182	Heterosais	nephele	m	V3	P3	bifide	108.16	111.89	18.66	3.44	3.06	2.99
GL07-182	Heterosais	nephele	m	V3	P4	bifide	96.61	101.49	11.91	4.04	2.78	3.27
GL07-182	Heterosais	nephele	m	V3	P5	bifide	98.91	94.59	19.43	3.59	2.87	2.8
GL07-182	Heterosais	nephele	m	V3	P6	monofide	215.81			3.97		
GL07-182	Heterosais	nephele	m	V3	P7	monofide	232.91			5.62		
GL07-182	Heterosais	nephele	m	V3	P8	monofide	191.33			5.13		
GL07-182	Heterosais	nephele	m	V3	P9	monofide	272.9			4.9		
GL07-182	Heterosais	nephele	m	V3	P10	monofide	251.4			5.3		
GL07-182	Heterosais	nephele	m	V4	P1	monofide	254.6			5		
GL07-182	Heterosais	nephele	m	V4	P2	monofide	164.1			6		
GL07-182	Heterosais	nephele	m	V4	P3	monofide	264.8			5.9		
GL07-182	Heterosais	nephele	m	V4	P4	monofide	277.3			6		
GL07-182	Heterosais	nephele	m	V4	P5	monofide	270.9			5.5		
GL07-182	Heterosais	nephele	m	V4	P6	monofide	294.8			4.9		
GL07-182	Heterosais	nephele	m	V4	P7	monofide	304			5.2		
GL07-182	Heterosais	nephele	m	V4	P8	monofide	302.3			4.9		
GL07-182	Heterosais	nephele	m	V4	P9	monofide	281.4			5.9		
GL07-182	Heterosais	nephele	m	V4	P10	monofide	288.1			5.9		
GL07-183	Heterosais	nephele	m	V3	P1	bifide	111.13	115.42	21.53	4.27	3.33	3.13
GL07-183	Heterosais	nephele	m	V3	P2	bifide	102.01	104.79	19.26	4.25	3	3.14
GL07-183	Heterosais	nephele	m	V3	P3	bifide	93.46	99.38	38.12	4.66	2.07	2.29
GL07-183	Heterosais	nephele	m	V3	P4	bifide	118.46	104.88	26.44	3.93	3.15	3.13
GL07-183	Heterosais	nephele	m	V3	P5	bifide	105.31	110	22.59	3.58	2.66	3.01
