Code	Genus	Species	sex	Veine	Poil	Type.Poil	LongueurTot1	LongueurTot2	LongueurEchancrure	Largeur.Base	Largeur.Echancrure1	Largeur.Echancrure2
CP17-17	Ithomia	agnosia	m	V4	P5	bifide	87.61	79.71	12.22	3.12	2.46	2.51
CP17-17	Ithomia	agnosia	m	V4	P6	monofide	169.64			3.62		
CP17-17	Ithomia	agnosia	m	V4	P7	monofide	147.7			3.81		
CP17-17	Ithomia	agnosia	m	V4	P8	monofide	253.45			4.62		
CP17-17	Ithomia	agnosia	m	V4	P9	monofide	142.72			4.27		
CP17-17	Ithomia	agnosia	m	V4	P10	monofide	222.51			4.22		
ME10-225	Ithomia	agnosia	m	V3	P1	bifide	93.48	97.85	13.97	3.15	2.6	2.6
ME10-225	Ithomia	agnosia	m	V3	P2	bifide	104.58	96.04	15.15	3.22	2.58	2.36
ME10-225	Ithomia	agnosia	m	V3	P3	bifide	94.3	94.38	12.2	3.11	2.23	2.67
ME10-225	Ithomia	agnosia	m	V3	P4	bifide	100.71	100.12	17.6	3.09	2.6	2.56
ME10-225	Ithomia	agnosia	m	V3	P5	bifide	102.23	106.08	15.18	3.34	2.56	2.62
ME10-225	Ithomia	agnosia	m	V3	P6	monofide	164.4			3.75		
ME10-225	Ithomia	agnosia	m	V3	P7	monofide	210.14			3.48		
ME10-225	Ithomia	agnosia	m	V3	P8	monofide	149.96			3.29		
ME10-225	Ithomia	agnosia	m	V3	P9	monofide	130.44			3.41		
ME10-225	Ithomia	agnosia	m	V3	P10	monofide	129.3			3.29		
ME10-225	Ithomia	agnosia	m	V4	P1	bifide	90.82	85.32	12.1	3.77	2.69	2.8
ME10-225	Ithomia	agnosia	m	V4	P2	bifide	99.34	99.34	15.51	3.15	2.57	2.8
ME10-225	Ithomia	agnosia	m	V4	P3	bifide	96.61	99.18	15.38	3.47	2.88	2.87
ME10-225	Ithomia	agnosia	m	V4	P4	bifide	95.1	93.43	13.08	3.63	2.59	2.38
ME10-225	Ithomia	agnosia	m	V4	P5	bifide	99.76	88.8	13.06	3.47	2.74	2.64
ME10-225	Ithomia	agnosia	m	V4	P6	monofide	192.47			3.47		
ME10-225	Ithomia	agnosia	m	V4	P7	monofide	162.33			3.33		
ME10-225	Ithomia	agnosia	m	V4	P8	monofide	203.35			4.04		
ME10-225	Ithomia	agnosia	m	V4	P9	monofide	282.6			3.8		
ME10-225	Ithomia	agnosia	m	V4	P10	monofide	158.29			3.67		
ME10-502	Ithomia	agnosia	m	V3	P1	bifide	88.86	85.62	12.98	3.22	3.06	2.5
ME10-502	Ithomia	agnosia	m	V3	P2	bifide	93.21	75.26	10.58	4.08	2.76	2.54
ME10-502	Ithomia	agnosia	m	V3	P3	bifide	96.5	96.58	12.61	3.7	2.91	2.77
ME10-502	Ithomia	agnosia	m	V3	P4	bifide	97.41	97.75	15.07	3.31	2.91	2.64
ME10-502	Ithomia	agnosia	m	V3	P5	bifide	99.42	97.06	13.35	3.64	2.6	3.14
ME10-502	Ithomia	agnosia	m	V3	P6	monofide	133.91			3.68		
ME10-502	Ithomia	agnosia	m	V3	P7	monofide	156.11			3.76		
ME10-502	Ithomia	agnosia	m	V3	P8	monofide	203.29			4.5		
ME10-502	Ithomia	agnosia	m	V3	P9	monofide	118.9			3.8		
ME10-502	Ithomia	agnosia	m	V3	P10	monofide	186.31			4.53		
ME10-502	Ithomia	agnosia	m	V4	P1	bifide	110.32	105.01	14.36	4.68	3.08	2.98
ME10-502	Ithomia	agnosia	m	V4	P2	bifide	90.18	95.61	13.53	4.22	2.86	2.68
ME10-502	Ithomia	agnosia	m	V4	P3	bifide	91.69	100.16	14.85	4.26	3.01	3
ME10-502	Ithomia	agnosia	m	V4	P4	bifide	103.18	104.42	15.3	3.86	2.74	2.71
ME10-502	Ithomia	agnosia	m	V4	P5	bifide	113.36	111.42	18.34	4.01	3.15	2.83
ME10-502	Ithomia	agnosia	m	V4	P6	monofide	190.35			4.45		
ME10-502	Ithomia	agnosia	m	V4	P7	monofide	143.06			3.86		
ME10-502	Ithomia	agnosia	m	V4	P8	monofide	344.9			5		
ME10-502	Ithomia	agnosia	m	V4	P9	monofide	221.82			4.96		
ME10-502	Ithomia	agnosia	m	V4	P10	monofide	252.92			4.88		
20260	Pseudoscada	timna	m	V3	P1	bifide	92.12	98.78	18.47	3.34	3.83	3.49
20260	Pseudoscada	timna	m	V3	P2	bifide	84.28	84.99	15.91	2.36	2.86	3.35
20260	Pseudoscada	timna	m	V3	P3	bifide	104.58	104.37	22.11	2.92	3.74	3.62
20260	Pseudoscada	timna	m	V3	P4	bifide	121.18	117.28	18.27	3.26	3.46	3.8
20260	Pseudoscada	timna	m	V3	P5	bifide	109.51	120.28	21.54	2.98	2.92	3.45
20260	Pseudoscada	timna	m	V3	P6	monofide	190.76			3.29		
20260	Pseudoscada	timna	m	V3	P7	monofide	141.9			3.81		
20260	Pseudoscada	timna	m	V3	P8	monofide	164.33			4.91		
20260	Pseudoscada	timna	m	V3	P9	bifide	110.01	97.55	17.78	3.31	2.95	3.46
20260	Pseudoscada	timna	m	V3	P10	bifide	95.44	102.16	20.59	3.2	3.82	3.55
20260	Pseudoscada	timna	m	V4	P1	bifide	124.94	135.66	29.41	3.08	3.17	3.62
20260	Pseudoscada	timna	m	V4	P2	bifide	139.49	135.36	33.35	3.62	4.1	3.34
20260	Pseudoscada	timna	m	V4	P3	bifide	132.65	127.82	32.1	3.79	3.64	3.76
20260	Pseudoscada	timna	m	V4	P4	bifide	138.11	131.83	28.34	3.57	4.05	3.88
20260	Pseudoscada	timna	m	V4	P5	bifide	100.56	107.25	20.33	2.91	4.25	3.92
20260	Pseudoscada	timna	m	V4	P6	monofide	211.15			4.04		
20260	Pseudoscada	timna	m	V4	P7	monofide	151.76			3.34		
20260	Pseudoscada	timna	m	V4	P8	monofide	229.48			3.61		
20260	Pseudoscada	timna	m	V4	P9	monofide	189.25			4		
20260	Pseudoscada	timna	m	V4	P10	monofide	205.11			3.69		
20455	Pseudoscada	timna	f	V3	P1	bifide	104.7	103.95	23.35	3.25	2.95	3.22
20455	Pseudoscada	timna	f	V3	P2	bifide	112.27	110.86	27.47	3.08	3.1	3.62
20455	Pseudoscada	timna	f	V3	P3	bifide	117.15	116.98	25.27	3.68	3.34	3.02
20455	Pseudoscada	timna	f	V3	P4	bifide	119.32	119.88	30.05	2.94	2.94	3.45
20455	Pseudoscada	timna	f	V3	P5	bifide	118.55	116.12	20.48	3.38	2.7	3.08
20455	Pseudoscada	timna	f	V3	P6	monofide	173.42			3.17		
20455	Pseudoscada	timna	f	V3	P7	monofide	195.57			3.43		
20455	Pseudoscada	timna	f	V3	P8	monofide	172.26			3.31		
20455	Pseudoscada	timna	f	V3	P9	monofide	166.77			4.21		
20455	Pseudoscada	timna	f	V3	P10	monofide	183.93			3.52		
20455	Pseudoscada	timna	f	V4	P1	bifide	119.07	99.29	26.26	3.7	3.21	2.86
20455	Pseudoscada	timna	f	V4	P2	bifide	113.68	113.09	22.44	3.5	2.98	2.59
20455	Pseudoscada	timna	f	V4	P3	bifide	110.53	106.17	24.67	3.06	3.19	2.91
20455	Pseudoscada	timna	f	V4	P4	bifide	118.96	111.02	22.44	3.26	3.42	3.15
20455	Pseudoscada	timna	f	V4	P5	bifide	102.2	114.35	18.89	3.94	2.92	3.35
20455	Pseudoscada	timna	f	V4	P6	monofide	150.69			3.88		
20455	Pseudoscada	timna	f	V4	P7	monofide	186.73			4.16		
20455	Pseudoscada	timna	f	V4	P8	monofide	201.02			4.25		
20455	Pseudoscada	timna	f	V4	P9	monofide	200.15			4.12		
20455	Pseudoscada	timna	f	V4	P10	monofide	334.8			3.9		
20490	Pseudoscada	timna	f	V3	P1	bifide	125.33	136.67	29.04	3.17	2.65	2.98
20490	Pseudoscada	timna	f	V3	P2	bifide	129.4	123.63	24.64	3.18	2.56	2.35
20490	Pseudoscada	timna	f	V3	P3	bifide	129.02	120.44	28.23	3.51	2.17	2.55
20490	Pseudoscada	timna	f	V3	P4	bifide	117.91	103.4	18.7	3.34	2.74	2.43
20490	Pseudoscada	timna	f	V3	P5	bifide	142.38	137.01	40.52	2.92	2.54	3.08
20490	Pseudoscada	timna	f	V3	P6	monofide	156.55			3.56		
20490	Pseudoscada	timna	f	V3	P7	monofide	197.88			3.38		
20490	Pseudoscada	timna	f	V3	P8	monofide	175.27			3.78		
20490	Pseudoscada	timna	f	V3	P9	monofide	206.94			3.5		
20490	Pseudoscada	timna	f	V3	P10	monofide	271.8			4		
20490	Pseudoscada	timna	f	V4	P1	monofide	214.89			3.34		
20490	Pseudoscada	timna	f	V4	P2	monofide	229.81			3.83		
20490	Pseudoscada	timna	f	V4	P3	monofide	163.12			4.2		
20490	Pseudoscada	timna	f	V4	P4	monofide	188.82			3.88		
20490	Pseudoscada	timna	f	V4	P5	monofide	177.55			4.01		
20490	Pseudoscada	timna	f	V4	P6	bifide	116.7	127.46	22.63	3.2	3.08	3.11
20490	Pseudoscada	timna	f	V4	P7	bifide	116.68	101.93	17.09	2.71	2.63	2.38
20490	Pseudoscada	timna	f	V4	P8	monofide	186.93			3.4		
20490	Pseudoscada	timna	f	V4	P9	monofide	173.36			3.38		
20490	Pseudoscada	timna	f	V4	P10	monofide	153.24			2.82		
20678	Pseudoscada	timna	m	V3	P1	bifide	96.26	111.47	22.66	3.3	3.08	3.13
20678	Pseudoscada	timna	m	V3	P2	bifide	118.99	117.4	22.2	3.47	2.92	2.9
20678	Pseudoscada	timna	m	V3	P3	bifide	121.06	116.15	18.86	3.16	2.92	2.71
20678	Pseudoscada	timna	m	V3	P4	bifide	118.54	119.82	26.29	3.63	2.71	3.14
20678	Pseudoscada	timna	m	V3	P5	bifide	115.79	130.16	22.55	3.31	3.08	3.02
20678	Pseudoscada	timna	m	V3	P6	monofide	178.79			4.26		
20678	Pseudoscada	timna	m	V3	P7	monofide	199.26			4.5		
20678	Pseudoscada	timna	m	V3	P8	monofide	185.55			4.06		
20678	Pseudoscada	timna	m	V3	P9	monofide	185.36			3.78		
20678	Pseudoscada	timna	m	V3	P10	monofide	186.56			4.72		
20678	Pseudoscada	timna	m	V4	P1	bifide	120.99	118.65	20.42	3.26	2.65	3.13
20678	Pseudoscada	timna	m	V4	P2	bifide	115.59	118.23	21	3.38	2.98	2.82
20678	Pseudoscada	timna	m	V4	P3	bifide	108.15	116.75	20.32	3.69	2.82	3.41
20678	Pseudoscada	timna	m	V4	P4	bifide	133.07	120.79	20.04	3.35	3.08	3.1
20678	Pseudoscada	timna	m	V4	P5	bifide	115.59	113.33	19.91	3.66	2.66	3.28
20678	Pseudoscada	timna	m	V4	P6	monofide	180.94			3.96		
20678	Pseudoscada	timna	m	V4	P7	monofide	201.05			4.09		
20678	Pseudoscada	timna	m	V4	P8	monofide	172.59			4.28		
20678	Pseudoscada	timna	m	V4	P9	monofide	189.98			4.06		
20678	Pseudoscada	timna	m	V4	P10	monofide	185.44			4.02		
20688	Pseudoscada	timna	m	V3	P1	bifide	122.43	118.45	23.3	3.3	2.6	2.87
20688	Pseudoscada	timna	m	V3	P2	monofide	169.45			3.76		
20688	Pseudoscada	timna	m	V3	P3	monofide	182.52			3.77		
20688	Pseudoscada	timna	m	V3	P4	monofide	159.05			3.69		
20688	Pseudoscada	timna	m	V3	P5	monofide	185.84			3.57		
20688	Pseudoscada	timna	m	V3	P6	monofide	190.93			4.5		
20688	Pseudoscada	timna	m	V3	P7	bifide	89.91	94.33	15.18	3.52	2.86	3.06
20688	Pseudoscada	timna	m	V3	P8	bifide	100	102.13	17.06	3.69	2.91	3.14
20688	Pseudoscada	timna	m	V3	P9	bifide	90.8	89.97	18.33	3.32	2.92	2.8
20688	Pseudoscada	timna	m	V3	P10	bifide	91.02	84.09	16.03	4.09	3.21	3.25
20688	Pseudoscada	timna	m	V4	P1	monofide	262.3			4.3		
20688	Pseudoscada	timna	m	V4	P2	monofide	242.3			4		
20688	Pseudoscada	timna	m	V4	P3	monofide	225.16			3.25		
20688	Pseudoscada	timna	m	V4	P4	monofide	187.5			3.56		
20688	Pseudoscada	timna	m	V4	P5	monofide	172.08			3.54		
20688	Pseudoscada	timna	m	V4	P6	bifide	109.15	94.98	19.4	3.44	3.2	2.98
20688	Pseudoscada	timna	m	V4	P7	bifide	90.68	100.97	11.68	2.99	2.54	3.31
20688	Pseudoscada	timna	m	V4	P8	bifide	94.7	103.24	11.62	3.97	3.25	3.18
20688	Pseudoscada	timna	m	V4	P9	bifide	87.18	115.42	13.05	3.81	3.03	2.92
20688	Pseudoscada	timna	m	V4	P10	bifide	94.4	82.8	18.42	3.24	3.02	3.43
CP17-4	Pseudoscada	timna	m	V3	P1	bifide	102.46	101.19	18.58	4.24	2.91	2.57
CP17-4	Pseudoscada	timna	m	V3	P2	bifide	123.86	122.03	23.94	4.53	2.3	2.37
CP17-4	Pseudoscada	timna	m	V3	P3	bifide	136.06	130.11	23.99	3.58	2.95	2.86
CP17-4	Pseudoscada	timna	m	V3	P4	bifide	103.35	114.94	17.52	4.11	2.56	2.5
CP17-4	Pseudoscada	timna	m	V3	P5	bifide	119.07	130.31	26.96	4.05	2.54	2.65
CP17-4	Pseudoscada	timna	m	V3	P6	monofide	234.73			3.97		
CP17-4	Pseudoscada	timna	m	V3	P7	monofide	153.19			3.7		
CP17-4	Pseudoscada	timna	m	V3	P8	monofide	212.01			4		
CP17-4	Pseudoscada	timna	m	V3	P9	monofide	206.24			4.62		
CP17-4	Pseudoscada	timna	m	V3	P10	monofide	161.67			3.97		
CP17-4	Pseudoscada	timna	m	V4	P1	bifide	110.67	109.71	17.97	3.96	2.98	2.73
CP17-4	Pseudoscada	timna	m	V4	P2	bifide	107.81	130.87	9.91	3.56	2.6	2.61
CP17-4	Pseudoscada	timna	m	V4	P3	bifide	110.86	128.97	28.41	3.21	2.44	2.71
CP17-4	Pseudoscada	timna	m	V4	P4	bifide	108.3	123.32	26.82	3.4	2.57	2.65
CP17-4	Pseudoscada	timna	m	V4	P5	bifide	125.51	125.86	28.12	3.75	2.74	3
CP17-4	Pseudoscada	timna	m	V4	P6	monofide	180.1			4.44		
CP17-4	Pseudoscada	timna	m	V4	P7	monofide	188.56			3.75		
CP17-4	Pseudoscada	timna	m	V4	P8	monofide	212.64			3.81		
CP17-4	Pseudoscada	timna	m	V4	P9	monofide	154.2			3.58		
CP17-4	Pseudoscada	timna	m	V4	P10	monofide	188.93			4.19		
CP17-5	Pseudoscada	timna	m	V3	P1	monofide	198.72			4.05		
CP17-5	Pseudoscada	timna	m	V3	P2	monofide	139.81			3.39		
CP17-5	Pseudoscada	timna	m	V3	P3	monofide	127.49			3.79		
CP17-5	Pseudoscada	timna	m	V3	P4	monofide	145.97			3.83		
CP17-5	Pseudoscada	timna	m	V3	P5	monofide	115.68			3.97		
CP17-5	Pseudoscada	timna	m	V3	P6	bifide	91.03	99.09	24.49	3.62	2.95	2.83
CP17-5	Pseudoscada	timna	m	V3	P7	bifide	103.42	93.68	25.3	3.16	2.78	2.68
CP17-5	Pseudoscada	timna	m	V3	P8	bifide	93.81	97.67	19.05	3.33	2.58	2.47
CP17-5	Pseudoscada	timna	m	V3	P9	bifide	89.77	89.37	19.51	3.15	2.35	2.46
CP17-5	Pseudoscada	timna	m	V3	P10	bifide	96.49	85.29	19.27	3.24	2.55	2.38
CP17-5	Pseudoscada	timna	m	V4	P1	monofide	183.86			3.83		
CP17-5	Pseudoscada	timna	m	V4	P2	monofide	197.51			3.33		
CP17-5	Pseudoscada	timna	m	V4	P3	monofide	199.41			3.91		
CP17-5	Pseudoscada	timna	m	V4	P4	monofide	215.55			4.04		
CP17-5	Pseudoscada	timna	m	V4	P5	monofide	148.81			3.25		
CP17-5	Pseudoscada	timna	m	V4	P6	bifide	106.44	90.3	24.52	4.12	2.72	2.33
CP17-5	Pseudoscada	timna	m	V4	P7	bifide	105.64	112.13	26.83	3.84	2.89	3.17
CP17-5	Pseudoscada	timna	m	V4	P8	bifide	91.53	98.08	20.04	3.21	2.77	2.56
CP17-5	Pseudoscada	timna	m	V4	P9	bifide	106.97	105.6	21.27	3.45	2.34	2.61
CP17-5	Pseudoscada	timna	m	V4	P10	bifide	101.44	96.74	19.4	3.52	2.84	2.43
CP17-6	Pseudoscada	timna	f	V3	P1	bifide	95.01	102.84	16.11	3.6	2.7	2.84
CP17-6	Pseudoscada	timna	f	V3	P2	bifide	74.52	89.56	13.14	3.83	2.85	2.9
CP17-6	Pseudoscada	timna	f	V3	P3	bifide	100.57	97.47	13.55	3.9	2.9	2.98
CP17-6	Pseudoscada	timna	f	V3	P4	bifide	114.28	101.04	14.05	4.16	3.16	2.7
CP17-6	Pseudoscada	timna	f	V3	P5	bifide	116.8	121.71	17.46	3.77	2.91	3.34
CP17-6	Pseudoscada	timna	f	V3	P6	monofide	196.21			4		
CP17-6	Pseudoscada	timna	f	V3	P7	monofide	162.23			4.2		
CP17-6	Pseudoscada	timna	f	V3	P8	monofide	207.67			4.18		
CP17-6	Pseudoscada	timna	f	V3	P9	monofide	141.79			3.07		
CP17-6	Pseudoscada	timna	f	V3	P10	monofide	150.22			3.53		
CP17-6	Pseudoscada	timna	f	V4	P1	monofide	176.57			4.14		
CP17-6	Pseudoscada	timna	f	V4	P2	monofide	213.87			4.26		
CP17-6	Pseudoscada	timna	f	V4	P3	monofide	162.78			3.65		
CP17-6	Pseudoscada	timna	f	V4	P4	monofide	266.3			5.23		
CP17-6	Pseudoscada	timna	f	V4	P5	monofide	197.9			4.53		
CP17-6	Pseudoscada	timna	f	V4	P6	bifide	96.61	108.52	16.7	3.69	2.6	2.46
CP17-6	Pseudoscada	timna	f	V4	P7	bifide	111.54	114.83	18.32	3.63	2.65	2.49
CP17-6	Pseudoscada	timna	f	V4	P8	bifide	93.52	118.64	27.49	3.69	2.52	3.02
CP17-6	Pseudoscada	timna	f	V4	P9	bifide	110.53	115.43	15.78	4.02	2.59	2.8
CP17-6	Pseudoscada	timna	f	V4	P10	bifide	122.92	130.12	24.15	3.62	3	2.94
CP17-7	Pseudoscada	timna	f	V3	P1	bifide	123.15	109.77	21.76	3.45	2.82	2.98
CP17-7	Pseudoscada	timna	f	V3	P2	bifide	125.38	101.48	19.25	4.25	2.96	3.18
CP17-7	Pseudoscada	timna	f	V3	P3	bifide	91.87	121.18	26.03	3.44	3.01	2.65
CP17-7	Pseudoscada	timna	f	V3	P4	bifide	85.17	105.34	18.05	3.33	2.86	2.86
CP17-7	Pseudoscada	timna	f	V3	P5	bifide	124.41	125	22.89	3.65	2.78	2.65
CP17-7	Pseudoscada	timna	f	V3	P6	monofide	144.17			3.62		
CP17-7	Pseudoscada	timna	f	V3	P7	monofide	179.94			4.45		
CP17-7	Pseudoscada	timna	f	V3	P8	monofide	173.72			3.99		
CP17-7	Pseudoscada	timna	f	V3	P9	monofide	180.88			4.28		
CP17-7	Pseudoscada	timna	f	V3	P10	monofide	225.6			4.1		
CP17-7	Pseudoscada	timna	f	V4	P1	bifide	112.19	103.8	14.6	4.25	2.92	3.17
CP17-7	Pseudoscada	timna	f	V4	P2	bifide	102.02	97.86	17.89	3.99	2.72	3.02
CP17-7	Pseudoscada	timna	f	V4	P3	bifide	108.48	106.39	19.32	4.15	2.9	3.11
CP17-7	Pseudoscada	timna	f	V4	P4	bifide	106.53	108.41	18.12	4.12	2.8	3
CP17-7	Pseudoscada	timna	f	V4	P5	monofide	220.78			5.17		
CP17-7	Pseudoscada	timna	f	V4	P6	monofide	152.56			4.23		
CP17-7	Pseudoscada	timna	f	V4	P7	monofide	269.2			4.6		
CP17-7	Pseudoscada	timna	f	V4	P8	monofide	187.7			4.1		
CP17-7	Pseudoscada	timna	f	V4	P9	monofide	141.93			4.38		
CP17-7	Pseudoscada	timna	f	V4	P10	monofide	127.1			3.9		
CP17-8	Pseudoscada	timna	f	V3	P1	bifide	96.32	106.08	20.51	3.88	4.14	3.5
CP17-8	Pseudoscada	timna	f	V3	P2	bifide	103.04	102.77	14.4	4.13	4.36	3.51
CP17-8	Pseudoscada	timna	f	V3	P3	bifide	96.72	99.64	22.83	3.62	3.72	3.73
CP17-8	Pseudoscada	timna	f	V3	P4	bifide	98.97	101.74	21.11	3.55	3.63	3.95
CP17-8	Pseudoscada	timna	f	V3	P5	bifide	96.99	94.06	16.86	3.81	4.2	3.24
CP17-8	Pseudoscada	timna	f	V3	P6	monofide	208.23			4.16		
CP17-8	Pseudoscada	timna	f	V3	P7	monofide	168.91			3.78		
CP17-8	Pseudoscada	timna	f	V3	P8	monofide	220.83			3.96		
CP17-8	Pseudoscada	timna	f	V3	P9	monofide	162.2			4.23		
CP17-8	Pseudoscada	timna	f	V3	P10	monofide	186.62			4.5		
CP17-8	Pseudoscada	timna	f	V4	P1	bifide	89.88	99.15	35.25	3.96	3.35	3.58
CP17-8	Pseudoscada	timna	f	V4	P2	bifide	120	130.18	28.97	3.67	3.6	2.42
CP17-8	Pseudoscada	timna	f	V4	P3	bifide	100.5	98.47	31.48	4.15	3.75	2.66
CP17-8	Pseudoscada	timna	f	V4	P4	bifide	97.29	98.19	23.92	4.12	3.69	4.1
CP17-8	Pseudoscada	timna	f	V4	P5	bifide	119.02	116.53	24.43	3.69	3.59	3.28
CP17-8	Pseudoscada	timna	f	V4	P6	monofide	170.8			4.4		
CP17-8	Pseudoscada	timna	f	V4	P7	monofide	168			4.7		
CP17-8	Pseudoscada	timna	f	V4	P8	monofide	173.78			4.71		
CP17-8	Pseudoscada	timna	f	V4	P9	monofide	172.52			4.61		
CP17-8	Pseudoscada	timna	f	V4	P10	monofide	213.85			4.18		
CP17-2	Ithomia	agnosia	f	V3	P1	monofide	146.4			3.62		
CP17-2	Ithomia	agnosia	f	V3	P2	bifide	92.22	92.6	13.07	3.5	2.6	2.6
CP17-2	Ithomia	agnosia	f	V3	P3	bifide	85.85	98.76	11.44	3.49	2.55	2.66
CP17-2	Ithomia	agnosia	f	V3	P4	bifide	95.92	104.19	15.08	2.72	2.49	2.42
CP17-2	Ithomia	agnosia	f	V3	P5	bifide	99.31	101.1	15.13	3.64	2.65	2.75
CP17-2	Ithomia	agnosia	f	V3	P6	bifide	98.69	92.68	14.21	3.36	2.71	2.46
CP17-2	Ithomia	agnosia	f	V3	P7	monofide	159.84			3.05		
CP17-2	Ithomia	agnosia	f	V3	P8	monofide	175.79			3.38		
CP17-2	Ithomia	agnosia	f	V3	P9	monofide	163.49			3.58		
CP17-2	Ithomia	agnosia	f	V3	P10	monofide	178.68			3.29		
CP17-2	Ithomia	agnosia	f	V4	P1	bifide	106.43	106.11	15.47	2.82	2.7	2.65
CP17-2	Ithomia	agnosia	f	V4	P2	bifide	113.35	110.98	16.82	3.09	2.3	2.66
CP17-2	Ithomia	agnosia	f	V4	P3	bifide	114.99	115.91	17.7	2.6	2.54	2.88
CP17-2	Ithomia	agnosia	f	V4	P4	bifide	102.57	103.15	14.12	3.29	2.51	2.52
CP17-2	Ithomia	agnosia	f	V4	P5	bifide	119.77	116.83	20.73	2.82	3.02	2.48
CP17-2	Ithomia	agnosia	f	V4	P6	monofide	270.16			4.09		
CP17-2	Ithomia	agnosia	f	V4	P7	monofide	151.4			3.16		
CP17-2	Ithomia	agnosia	f	V4	P8	monofide	131.18			3.24		
CP17-2	Ithomia	agnosia	f	V4	P9	monofide	154.42			3.5		
CP17-2	Ithomia	agnosia	f	V4	P10	monofide	131.92			3.24		
